NEW_IMLOCI,NEW_NAME,Area_km,NPS Watershed Ownership Percent,Prot_area_pct (PAD),Watershed_Percent_Impervious_NLCD2019,roads_km_km2,,AvgPredEC,F50Pct_PL,,1992 (lbs salt / km2),1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,"NLCD06 Developed, open (21)","NLCD06 Developed, low (22)","NLCD06 Developed, medium (23)","NLCD06 Developed, high (24)",NLCD06 Deciduous forest (41),NLCD06 Evergreen forest (42),NLCD06 Mixed forest (43),NLCD06 Pasture (81),NLCD06 Crops (82),,"NLCD19 Developed, open (21)","NLCD19 Developed, low (22)","NLCD19 Developed, medium (23)","NLCD19 Developed, high (24)",NLCD19 Deciduous forest (41),NLCD19 Evergreen forest (42),NLCD19 Mixed forest (43),NLCD19 Pasture (81),NLCD19 Crops (82),,"Change Developed, open (21)","Change Developed, low (22)","Change Developed, medium (23)","Change Developed, high (24)",Change Deciduous forest (41),Change Evergreen forest (42),Change Mixed forest (43),Change Pasture (81),Change Crops (82)
NCRN_GWMP_TURU,Turkey Run,2.687,49.878,51.358,8.219912839,4.391,,71.84364641,159.8339091,,2367.855225,7618.748047,10199.61133,7846.616821,18913.12061,9883.979614,6690.932617,13660.86865,7672.613892,4133.394531,3405.555481,7017.677612,4334.897461,6708.499634,3547.072815,5118.979248,4760.198181,6362.745361,14370.21021,7359.066406,3205.094788,9183.017944,17686.00879,28851.12451,24047.04224,20821.21973,26645.19238,22385.2561,,0.186,0.097,0.028,0.01,0.545,0.005,0.086,0.03,0,,0.191,0.112,0.039,0.011,0.528,0.002,0.082,0.027,0,,0.005,0.015,0.011,0.001,-0.017,-0.003,-0.004,-0.003,0
NCRN_HAFE_ELRD,Elks Run - Downstream,48.628,4.384,11.551,5.253160808,2.824,,282.8966851,393.6983335,,4362.455514,3775.577789,5389.491055,5471.001295,8493.419603,4489.79052,4540.281112,7903.739796,7169.682209,5604.469891,4626.697963,9256.502663,6190.939079,6577.34844,4770.285193,9880.944268,11709.9336,6398.112246,18179.82584,11054.33032,9422.500869,11504.15938,16122.09506,11815.21296,10476.61506,8069.442941,12455.11205,11522.39223,,0.099,0.065,0.022,0.005,0.124,0.003,0.027,0.421,0.227,,0.099,0.068,0.028,0.007,0.123,0.003,0.027,0.401,0.233,,0,0.003,0.006,0.002,-0.001,0,0,-0.02,0.006
NCRN_HAFE_ELRU,Elks Run - Upstream,48.475,4.211,11.523,5.25727975,2.824,,283.0751381,393.8601241,,4362.455514,3775.577789,5389.491055,5471.001295,8493.419603,4489.79052,4540.281112,7903.739796,7169.682209,5604.469891,4626.697963,9256.502663,6190.939079,6577.34844,4770.285193,9880.944268,11709.9336,6398.112246,18179.82584,11054.33032,9422.500869,11504.15938,16122.09506,11815.21296,10476.61506,8069.442941,12455.11205,11522.39223,,0.099,0.064,0.022,0.005,0.122,0.003,0.027,0.422,0.228,,0.099,0.068,0.028,0.007,0.121,0.003,0.027,0.402,0.234,,0,0.004,0.006,0.002,-0.001,0,0,-0.02,0.006
NCRN_HAFE_FLSP,Flowing Springs Run,21.18,2.719,4.089,13.2558841,4.373,,276.3497238,387.7368705,,6182.598996,5350.858679,7638.143503,7753.662323,12037.12158,5681.489246,5745.381384,10001.58326,9072.689001,7092.031726,5854.735376,11713.40206,7834.163922,8323.135571,6036.434119,12814.34955,15186.32018,8297.551587,23576.96111,14336.08444,12219.80575,14919.45645,20908.34182,15322.85399,13655.17849,10517.67978,16233.94357,15018.24031,,0.13,0.125,0.063,0.022,0.101,0.005,0.025,0.292,0.188,,0.128,0.133,0.083,0.031,0.102,0.003,0.027,0.256,0.192,,-0.002,0.008,0.02,0.009,0.001,-0.002,0.002,-0.036,0.004
NCRN_MANA_CHBR,Chinn's Branch,14.706,65.764,65.47,10.19138258,3.572,,170.7104972,282.9712307,,1659.102529,5338.284133,7146.636556,5497.946674,13251.99494,6884.732699,4660.600773,9515.542611,5344.395443,2879.135522,2372.155794,4888.19659,3019.493368,4672.837061,2470.730347,3465.155208,3222.287988,4307.089193,9727.526823,4981.52181,2169.602572,6216.19668,11972.06745,19529.99232,16435.67962,14230.89371,18211.46447,15299.88151,,0.077,0.072,0.036,0.013,0.228,0.072,0.072,0.282,0.001,,0.076,0.076,0.054,0.04,0.196,0.057,0.067,0.267,0.001,,-0.001,0.004,0.018,0.027,-0.032,-0.015,-0.005,-0.015,0
NCRN_MANA_DOBR,Dogan's Branch,2.549,79.177,81.836,1.535007072,2.219,,166.1497238,277.9873769,,1093.273916,3517.688965,4709.311808,3622.899414,8732.468343,4197.206991,2841.287557,5801.053385,3258.156006,1755.235555,1446.160522,2980.039063,1840.803243,2848.747355,1506.255493,2100.094035,1952.901835,2610.357056,5895.470785,3019.104167,1314.910665,3767.391927,7255.798584,11836.35872,9312.998535,8063.694132,10319.21704,8669.418132,,0.076,0.029,0.001,0,0.348,0.024,0.057,0.207,0,,0.075,0.029,0.002,0,0.243,0.008,0.05,0.21,0,,-0.001,0,0.001,0,-0.105,-0.016,-0.007,0.003,0
NCRN_MANA_HOBR,Holkum Branch,3.006,17.039,17.033,40.31534772,9.995,,177.0403315,289.8100361,,3668.563446,11803.87225,15802.45313,12156.91364,29302.45898,16468.95459,11148.61328,22762.10779,12784.31671,6887.173706,5674.428589,11693.04431,7222.923279,11177.88348,5910.228607,8466.004578,7872.635437,10523.0025,23766.1178,12170.76361,5300.733765,15187.29944,29249.93738,47715.32251,41109.16772,35594.52368,45550.78564,38268.29272,,0.065,0.112,0.309,0.15,0.099,0.022,0.103,0.104,0,,0.052,0.107,0.325,0.16,0.089,0.022,0.062,0.098,0,,-0.013,-0.005,0.016,0.01,-0.01,0,-0.041,-0.006,0
NCRN_MANA_YOBR,Young's Branch,17.145,70.643,70.061,8.880438776,3.345,,224.5939227,338.6546703,,1581.148001,5087.459719,6810.844971,5239.620356,12629.33724,6524.839269,4416.971917,9018.12589,5065.021815,2728.631211,2248.153414,4632.67036,2861.65197,4428.56856,2341.575059,3289.117906,3058.58886,4088.279843,9233.347656,4728.449836,2059.382116,5900.400592,11363.86081,18537.82692,15570.54834,13481.8166,17252.86048,14494.5357,,0.068,0.065,0.031,0.011,0.223,0.068,0.077,0.322,0.001,,0.067,0.069,0.047,0.034,0.195,0.054,0.072,0.309,0.001,,-0.001,0.004,0.016,0.023,-0.028,-0.014,-0.005,-0.013,0
NCRN_MONO_BUCK,Bush Creek,82.438,0.788,6.229,7.430166805,4.198,,88.31823204,183.2787332,,20292.99033,16923.18863,31122.98291,24309.19963,25188.74171,29971.86376,8510.676244,20199.46376,19199.60936,7736.977525,2906.96138,5519.917306,4330.446196,6563.933174,7640.444415,7157.704319,6042.406825,7483.848378,25523.70956,15055.05663,10716.17257,16656.65922,42282.28779,99546.83441,88437.01573,80462.22657,96922.06917,81497.34121,,0.167,0.064,0.03,0.004,0.284,0.004,0.033,0.265,0.122,,0.176,0.077,0.047,0.009,0.276,0.004,0.033,0.235,0.117,,0.009,0.013,0.017,0.005,-0.008,0,0,-0.03,-0.005
NCRN_MONO_GAMI,Gambrill Mill Creek,2.629,20.839,19.589,5.095515235,4.751,,195.8712707,309.6558496,,17221.60918,14361.83313,26412.46273,20629.958,21376.37963,21997.29157,6246.252498,14825.02089,14091.19588,5678.410684,2133.510214,4051.240596,3178.25043,4817.476611,5607.561911,4425.236642,3735.70623,4626.874584,15779.98373,9307.759168,6625.252748,10297.94672,26140.94184,61544.63602,53854.05544,48997.77784,59021.06091,49628.11395,,0.15,0.086,0.01,0.006,0.264,0.002,0.091,0.268,0.115,,0.15,0.088,0.011,0.006,0.261,0.004,0.089,0.262,0.123,,0,0.002,0.001,0,-0.003,0.002,-0.002,-0.006,0.008
